round,accuracy,recall,precision,f1score,fpr
0,0.1499658378705527,1.0,0.1499658378705527,0.26081790072694977,1.0
1,0.9499223373043361,0.9045134236123153,0.791382187831892,0.8441743787426251,0.042066471978862464
2,0.9418865533603006,0.7400406728359056,0.8529817930733729,0.7925076181552668,0.022503128911138922
3,0.9612041145861654,0.870367159049706,0.8708613972269981,0.8706142079949539,0.022770129328327074
4,0.9538373882638309,0.789920073148046,0.8898893565631272,0.8369300150325706,0.017243776943401474
5,0.9336119891343151,0.6446329197736194,0.8807021322420848,0.744399843441377,0.01540536782088722
6,0.9362172947848968,0.67056579382971,0.8749022995598338,0.7592257097214661,0.016915588930607704
7,0.9375152192877728,0.6522630176721895,0.9044308916431678,0.7579226964645539,0.01215964399944375
8,0.9302005045120016,0.6130720602840792,0.8864802024208439,0.7248513541220107,0.013850646641635378
9,0.9360352543719251,0.6463197389371462,0.8987044871654355,0.7518981770164692,0.012852176331525519
10,0.9533527352163089,0.7593366228934466,0.9151656786745705,0.83000043079309,0.01241830065359477
